League,Year,player,team_id,position,goals,assists,key_passes,xG,xA,time,shots,player_id,xGChain,xGBuildup,,League,EPL,,,
EPL,2014,Willian,80,AMR,0,0,1,0,0.017301301,81,0,700,0.017301301,0,,,,,,
EPL,2014,Eden Hazard,80,AML,0,1,1,0.0167139,0.092941403,90,1,701,0.676886976,0.660172999,,,,,,
EPL,2014,Oscar,80,AMR,0,1,1,0,0.294730991,68,0,692,0.294730991,0,,,,,,
EPL,2014,Eden Hazard,80,AML,1,0,0,1.023110032,0,90,4,701,1.002840042,0,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,1,8,0,1.114650011,90,0,616,1.294510007,0.266270012,,,,,,
EPL,2014,David Silva,88,AML,0,0,1,0.211465001,0.070527203,76,4,617,0.581444025,0.52167201,,,,,,
EPL,2014,Erik Lamela,82,AMR,0,1,2,0.365502,0.430768996,90,1,644,0.765829027,0.365502,,,,,,
EPL,2014,Nacer Chadli,82,AML,1,0,2,0.0124002,0.433097005,79,1,648,0.810998976,0.728603005,,,,,,
EPL,2014,Erik Lamela,82,AMR,1,0,3,0.270038992,0.112554997,90,1,644,0.330754012,0.270038992,,,,,,
EPL,2014,Nacer Chadli,82,AML,1,0,1,0.169866994,0.0711606,84,4,648,0.189187005,0,,,,,,
EPL,2014,Jesús Navas,88,AMR,0,0,1,0.125273004,0.030507701,90,2,616,0.125273004,0,,,,,,
EPL,2014,David Silva,88,AML,0,0,0,0.030507701,0,90,1,617,0.129499003,0.129499003,,,,,,
EPL,2014,Aaron Ramsey,83,AMR,0,0,0,0.0190513,0,90,1,504,0.244965002,0.244965002,,,,,,
EPL,2014,Alexis Sánchez,83,AML,0,0,0,0.054834701,0,90,2,498,0.759468973,0.717696011,,,,,,
EPL,2014,Ramires,80,AMR,0,0,0,0.399197012,0,90,1,936,0.399197012,0,,,,,,
EPL,2014,Eden Hazard,80,AML,0,0,0,0.0252665,0,90,1,701,0.444864005,0.419597,,,,,,
